id,area_used,area,bedroom,wc,juridical,latitude,longitude,seniority,witdh,length,no_hospital_1km,no_school_1km,no_cafe_1km,no_restaurant_1km,no_atm_1km,no_bank_1km,no_supermarket_1km,no_marketplace_1km,no_pharmacy_1km,no_fuel_1km,address_district,address_ward,address_street,price(billionVND)
22363944,214.0,214.0,3.0,4.0,Sổ hồng,10.84790087,106.781555175,2190.0,5.1,30.0,3.0,10.0,3.0,7.0,8.0,8.0,0.0,1.0,2.0,4.0, Quận 9 (TP. Thủ Đức), Phường Hiệp Phú, Quang Trung,15.5
22276883,132.0,132.0,4.0,4.0,Sổ hồng,10.81776905,106.77964401500004,2190.0,7.0,19.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0, Quận 9 (TP. Thủ Đức), Phường Phước Long B, Đường 475,6.15
22538490,146.0,56.0,4.0,4.0,Sổ hồng,10.793345925,106.822265625,2190.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, Quận 9 (TP. Thủ Đức), Phường Long Trường, Nguyễn Duy Trinh,4.95
22525131,18.0,18.0,1.0,1.0,Sổ hồng,10.859988215,106.800296785,2190.0,9.4,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, Quận 9 (TP. Thủ Đức), Phường Tân Phú, Đường 120,8.1
22384353,1.0,1.0,1.0,1.0,Sổ hồng,10.80635738,106.82874298000002,515.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0, Quận 9 (TP. Thủ Đức), Phường Trường Thạnh, Tam Đa,75.0
22528405,91.0,91.0,5.0,4.0,Sổ hồng,10.814869405,106.77146530000005,2190.0,4.0,23.0,1.0,8.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0, Quận 9 (TP. Thủ Đức), Phường Phước Bình, Đại Lộ 2,16.5
22539601,281.0,5.0,6.0,5.0,Sổ hồng,10.839486125,106.79618454,2190.0,5.0,21.0,1.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0, Quận 9 (TP. Thủ Đức), Phường Tăng Nhơn Phú A, Man Thiện,16.5
22508790,1.0,1.0,3.0,3.0,Sổ hồng,10.79769564,106.75702666999996,515.0,1.0,1.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0, Quận 2 (TP. Thủ Đức), Phường An Phú, Đường số 29,59.5
21813730,280.0,280.0,1.0,1.0,Sổ hồng,10.81776905,106.77964401500004,2190.0,8.2,34.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0, Quận 9 (TP. Thủ Đức), Phường Phước Long B, Dương Đình Hội,18.5
22513336,1.0,1.0,3.0,2.0,Sổ hồng,10.783041475,106.75634003000005,515.0,1.0,1.0,0.0,7.0,5.0,3.0,4.0,0.0,0.0,1.0,2.0,1.0, Quận 2 (TP. Thủ Đức), Phường Bình Trưng Tây,301/ Nguyễn Duy Trinh,4.6
22138385,1.0,1.0,5.0,5.0,Sổ hồng,10.83555126,106.724040985,515.0,1.0,1.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0, Quận Thủ Đức (TP. Thủ Đức), Phường Hiệp Bình Chánh, Đường số 9,26.0
22254929,1.0,1.0,4.0,4.0,Sổ hồng,10.783041475,106.75634003000005,515.0,1.0,1.0,0.0,7.0,5.0,3.0,4.0,0.0,0.0,1.0,2.0,1.0, Quận 2 (TP. Thủ Đức), Phường Bình Trưng Tây, Lê Văn Thịnh,19.0
22353143,1.0,1.0,1.0,1.0,Sổ hồng,10.784618855,106.77885055499996,515.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0, Quận 2 (TP. Thủ Đức), Phường Bình Trưng Đông, Đường số 42,18.0
22381528,1.0,1.0,4.0,1.0,Sổ hồng,10.7884427,106.73433139999996,515.0,1.0,1.0,0.0,11.0,5.0,5.0,1.0,1.0,0.0,4.0,0.0,3.0, Quận 2 (TP. Thủ Đức), Phường Bình An, Đường D2,18.0
