price(billionVND),id
10.99,22493276
375.0,22464228
90.0,22509341
26.0,22232855
6.99,22470711
12.0,22415159
4.75,22513973
7.6,22360220
8.6,22493327
280.0,22453510
30.5,22491795
60.0,22207985
12.95,22407859
7.9,22493191
6.5,22328166
4.65,22513969
3.74,22512755
63.5,22539195
22.2,22482200
8.5,22392959
7.6,22499711
26.8,22485438
28.0,22171012
11.95,22432557
10.2,22505867
9.8,22327345
8.49,22510818
450.0,22539187
12.6,22480786
4.8,22499765
379.0,22453523
12.0,22170988
40.0,22484683
1.15,22057138
33.5,21537161
4.35,22505837
7.4,22434300
13.5,21570535
7.9,22326485
6.09,22509207
2.45,22512617
7.5,22323792
65.0,22539180
19.989,22502087
35.0,22443251
7.9,22170973
320.0,22474131
21.45,22139244
6.9,22414846
6.7,22324700
4.79,22509186
3.1,22512571
5.8,22480616
66.0,22539130
23.0,22286674
9.5,22503645
60.0,22350546
160.0,22472649
41.0,22167371
3.6,22493182
3.9,22508693
10.0,22537217
75.0,22089352
4.49,22507592
3.35,22520807
6.5,22478776
12.9,22199672
43.5,22539123
7.5,22505424
50.0,22425145
62.0,21938596
600.0,22467772
7.25,22489866
2.73,22505937
8.0,22402554
13.5,22472185
5.4,22537214
5.9,22315613
8.49,22507560
8.5,22465562
139.0,22539158
2.98,22482092
7.9,22505512
18.5,22262453
23.0,21924404
130.0,22423513
26.2,22478140
19.95,21864966
4.7,22505849
9.0,22401843
12.0,22467105
3.3,22532263
4.3,22309446
39.0,21931488
8.69,22505288
4.25,22523467
7.0,21990855
10.5,21893319
30.5,22539139
5.6,22524070
15.5,22513179
90.0,22196203
9.6,22538484
221.0,22461486
2.5,22123716
11.95,22496021
1.45,22505902
8.2,22400961
5.5,22532249
4.6,22445919
4.95,22304222
5.79,22505281
7.3,21985338
51.0,22537266
19.0,21878873
6.55,22531749
8.7,22509075
110.0,22213788
50.0,22413693
9.3,22538482
90.0,22417478
79.0,22008142
25.95,22485614
1.35,22493197
4.5,22504486
3.6,22411195
6.5,22529543
3.2,22302928
42.0,22509086
5.49,22484833
2.5,22523584
6.5,22534029
41.0,22537263
35.0,21846460
6.95,22520806
90.0,22175414
30.0,22403976
22.0,22538478
26.95,22486585
1.39,22506905
7.6,22509801
5.0,22410546
7.0,22529536
5.75,22282184
7.49,22425470
2.2,22526798
7.97,22528783
179.0,22537278
15.2,21830053
27.5,22187942
30.0,22402729
29.0,22538476
2.99,22140128
13.45,22489914
20.5,22360606
5.4,22276069
4.86,22526972
7.9,22528726
85.0,22537276
7.9,21816584
40.0,22168260
130.0,22335736
11.9,22474377
1.5,22054703
30.0,21964347
24.95,22495554
1.35,22507382
4.95,22358187
5.6,22274367
6.48,22526884
7.8,22522148
8.8,22527335
130.0,22537273
22.0,21728673
125.0,22168180
7.9,22436768
55.0,22331332
68.0,21885861
1.2,22507374
23.0,22325580
19.5,22271334
14.48,22526493
2.3,22526954
6.5,22521466
8.8,22526789
21.0,21657391
40.5,22537271
40.0,22160513
780.0,21673670
30.0,22219084
14.5,22340865
3.1,22113746
12.45,22472177
3.9,22507354
12.5,22318585
9.5,22256404
16.0,22526477
7.5,22521463
4.7,22525591
350.0,22537208
8.5,22478579
73.0,22477559
46.0,22219061
73.0,22536914
19.5,22338329
2.0,22123724
23.95,22478284
9.8,22522356
5.9,22539186
8.5,22256930
4.6,22382781
7.78,22526324
2.6,22531362
5.5,22512975
3.2,22513295
750.0,22537269
39.0,22477707
80.0,22502970
80.0,22536938
23.0,22160228
4.7,22138390
6.15,22479898
5.9,22524376
11.5,22029843
6.3,22370312
5.68,22521917
2.75,22531402
1.1,22512971
9.8,22509270
25.0,22466748
102.0,22537206
75.0,22484886
103.0,22536891
11.3,22159606
2.1,22110471
23.45,22484564
4.35,22506913
30.0,22470714
5.4,22369144
6.88,22521277
2.65,22531435
6.5,22509343
5.8,22509259
180.0,22530205
0.025,22386386
102.0,22489532
145.0,22522022
53.0,22072065
10.45,22484589
1.2,22507395
5.5,22470768
7.7,21843641
4.5,22365496
5.08,22521226
7.8,22509337
3.78,22509254
300.0,22530184
10.1,22449026
115.0,22484871
150.0,22521995
130.0,22057542
23.5,22495878
7.55,22451697
5.6,22455497
5.3,22353482
17.5,22533861
4.45,22520243
2.6,22531950
18.0,22509330
12.5,22504533
450.0,22530154
8.5,22441162
138.0,22474288
99.0,22513633
17.499,22039183
22.0,22495872
5.45,22454457
7.35,22505827
4.6,22352212
8.98,22518714
1.85,22531913
14.8,22509272
9.0,22500074
100.0,22530110
8.9,22437917
295.0,22465316
32.0,22032739
36.0,22510862
22.0,22497799
8.45,22448909
6.3,22496564
12.0,21753163
4.2,22350729
4.88,22518701
18.5,22509267
5.8,22487723
8.5,22428584
128.0,22530085
45.0,22468573
40.0,22020116
165.0,22502606
16.0,22509422
13.2,22508948
13.0,22523593
12.5,21829396
4.9,22347224
13.5,22532684
7.49,22509176
6.9,22509263
4.75,22480112
170.0,22530070
13.5,22427468
75.0,22470734
17.9,22005688
33.8,22507043
10.5,22513401
15.85,22451505
4190.0,22505118
12.5,21842209
4.5,22523583
16.5,22342666
7.69,22484052
3.45,22535287
4.29,22509253
36.0,22474391
200.0,22530034
20.5,22371655
450.0,22461748
45.0,22464230
34.5,22495473
6.2,21991181
38.0,22497777
7.2,22438811
4.8,21763285
5.6,22331764
6.79,22479075
3.35,22534905
6.49,22509250
11.2,22463583
110.0,22530006
6.45,22096330
136.0,22465312
23.0,21932039
26.5,22485491
32.0,22498730
16.85,22407700
4.7,22327425
5.89,22478114
100.0,22531737
2.95,22536554
33.0,22506833
19.5,22053563
208.0,22529992
445.0,22446772
1.15e-07,22468711
7.1,21635164
21.5,22500210
15.0,22395535
34.95,22401253
4.1,22535945
21.0,22512241
3.3,22296561
26.0,22520872
5.89,22460234
18.0,22506825
120.0,22529960
10.0,22034656
90.0,22433912
100.0,22467871
11.2,21683162
32.0,22502711
32.85,22299439
3.8,22533991
6.0,22285324
17.9,22518882
7.49,22423732
32.0,22506821
31.5,22128078
20.5,22340610
779.0,22529957
7.5,22026123
33.5,22438708
20.0,22538524
30.0,22430309
18.0,22502724
17.95,22493857
3.8,22534287
7.5,22282267
2.89,22518886
8.99,22421566
2.39,22506580
4.1,22310645
23.5,21772802
177.0,22529949
200.0,22173594
35.0,22426782
53.0,22538523
32.0,22408951
27.0,22503532
13.0,22534717
8.95,22494632
15.0,22523798
5.0,22522233
25.0,22518829
9.39,22322748
7.5,22506569
13.0,22233733
168.0,22529911
35.0,22290293
9.7,22530906
120.0,22343125
25.0,22506076
32.0,22379766
76.0,21990728
9.0,22495544
15.0,22534714
3.55,22524389
12.3,22518837
5.5,22271394
5.85,22308318
12.5,22506553
7.5,22233013
38.0,21629541
180.0,22538078
100.0,22277521
285.0,22242996
12.5,22530902
17.0,22503537
5.0,22538979
32.0,22534713
5.2,22525143
15.0,22510099
40.5,22518845
28.0,22244000
8.09,22306645
8.1,22505656
17.0,21621504
279.0,22538069
28.5,22034350
33.0,22209585
379.0,22190488
25.0,22387174
31.0,22506070
19.8,22532524
48.0,22534709
24.45,22512666
7.99,22526453
16.5,22518848
8.78,22221463
6.5,22522592
17.95,21946808
18.5,21576314
105.0,22538056
96.0,22027199
160.0,22190961
75.0,22538002
26.0,22387169
14.0,22506717
23.0,22532522
12.45,22490208
90.0,22522759
5.2,22527475
3.0,22220898
17.0,22518853
6.0,22522590
14.0,22537253
8.5,21530905
200.0,22018657
55.0,22182919
480.0,22537994
35.0,22290309
13.5,22506736
105.0,22522740
28.95,22490839
6.5,22533562
45.8,22220558
68.0,22518859
9.0,22510052
10.9,22522587
9.6,22478069
16.5,22537249
75.0,22524172
190.0,22524658
14.5,22284096
24.0,22511713
13.45,22490053
9.2,22533565
4.8,22473532
7.6,22518865
11.0,22522584
9.0,21898490
51.5,22537247
13.0,22539129
155.0,22524176
230.0,22522067
9.0,22219075
27.0,22498765
29.45,22486314
3.35,22478107
5.95,22518869
8.0,22522583
7.6,21788250
27.0,22537245
10.7,22535778
135.0,22522043
6.9,22219067
18.0,22538239
39.45,22424928
15.0,22507946
3.7,22504423
3.95,22518878
4.6,22522580
5.9,21755746
95.0,22537243
830.0,21911241
73.0,22524157
7.5,22515944
9.5,22208780
239.0,22517088
14.0,22538262
36.0,22519382
9.0,22536837
3.6,22508797
29.0,22334174
7.5,22522577
5.75,22509262
180.0,22537240
100.0,22524154
18.0,22509912
15.5,22152209
32.0,22510734
60.0,21555276
9.79,21989927
30.0,22519378
58.0,20395617
15.0,22338825
5.5,22536848
3.55,22513018
7.8,22522575
9.0,22526805
67.0,22537234
119.0,22475919
6.5,22506955
18.0,22143358
32.0,22507113
10.99,22000590
12.0,21546888
3.0,22221547
7.6,22522154
6.8,22514162
46.5,22537230
140.0,22474291
15.0,22506863
23.0,21995442
29.0,22485505
8.89,22035529
6.3,22522136
23.5,22471645
65.0,22537228
55.0,22473743
7.4,22346339
30.5,22465963
12.5,21947190
6.99,22221573
7.5,22522129
23.5,22446066
40.0,22537224
170.0,22470737
12.5,22491462
31.0,22449855
8.0,21932051
5.8,22488529
16.49,22166629
110.0,22517256
11.0,22472844
10.5,22229982
70.0,22496670
2.9,22522124
10.5,22505324
270.0,22537221
80.0,22459135
10.0,22467626
36.0,21938623
70.0,22465054
125.0,22465874
4.8,22449972
11.8,22500335
9.8,22461765
53.0,22470878
5.95,22283131
7.9,22522117
8.8,22505316
638.0,22537220
135.0,22460960
11.0,22462984
12.0,21915521
350.0,22168524
4.29,22448620
10.9,22512109
23.45,21512166
63.0,22517233
23.5,22467372
12.0,22302970
4.2,22521850
5.8,22497381
75.0,22537219
87.0,22444541
9.85,22360178
6.5,21905378
55.0,22417374
6.3,22448581
11.0,22512123
6.0,22501855
9.2,22405867
8.6,22527495
80.0,22495781
4.3,22305738
40.0,22482308
6.1,22521468
49.0,22537218
95.0,22453513
14.45,22380621
52.0,22418410
18.5,21891075
3.6,22440772
20.0,22522172
8.4,22466492
0.175,22509749
10.25,21502400
17.5,22384257
5.7,22521671
7.5,22466703
3.75,22315750
26.0,22473076
7.1,22521467
6.8,22482310
37.0,22537215
10.85,22376356
80.0,22444557
11.9,22530912
48.0,22417355
4.9,22450111
12.0,22516097
8.6,22516086
9.0,22383841
6.0,22512228
3.8,22318367
65.0,22534187
23.0,22473071
7.1,22521458
8.3,22479416
38.0,22537211
13.5,22373046
95.0,22438732
22.0,22530915
220.0,22346783
2.65,22451581
7.5,22486227
7.0,22495280
22.45,22499000
12.5,22375273
6.1,22436663
11.9,22522255
7.5,22323319
13.0,22495780
17.0,22539025
13.9,22519413
13.5,22476679
35.0,22537210
10.0,21980539
57.0,21911162
125.0,22438706
20.9,22484022
10.5,22530908
185.0,22201496
5.39,22452607
12.0,22485433
12.0,22486709
28.0,22517163
13.5,22333732
8.0,22470634
6.7,22519749
4.8,22330344
40.0,22508093
38.0,22538999
31.0,22425432
12.9,22519407
6.8,22432538
65.0,22538045
16.85,22389101
60.0,22423880
100.0,22075706
20.5,22527964
8.7,22539131
4.239,22456247
8.6,22485454
12.0,22508390
15.95,22482080
21.0,22327074
16.5,22394003
13.95,22330364
26.5,22425421
5.1,22519405
260.0,22538034
142.0,22305650
79.0,22457963
375.0,22517024
7.5,22527954
3.879,22456482
7.5,22507406
8.6,22483126
8.8,22416899
10.35,22484240
38.0,22517194
17.0,22310134
14.5,22393125
4.25,22330576
12.0,22515850
50.0,22425418
18.0,22494880
4.9,22522589
7.8,22360214
11.5,22458241
85.0,22538027
80.0,22178544
28.0,22469558
13.8,22519830
65.0,22538048
5.7,22457022
10.0,22461733
10.5,22469337
6.95,22494555
8.8,22308970
11.9,22362289
4.85,22388121
11.0,22517789
39.0,22425409
130.0,22525455
8.99,22349195
529.0,22538005
13.85,22437671
85.0,22178510
10.0,22519821
100.0,22530669
3.6,22458199
16.0,22461723
7.9,22491675
24.95,22495541
17.0,22222280
4.05,22454928
24.0,22382469
120.0,22513217
7.3,22522594
5.2,22347473
4.2,22441591
175.0,22538022
990.0,22500519
13.85,22088297
85.0,22464808
100.0,22507256
84.0,21555329
5.75,22462859
13.0,22456674
8.2,22416900
120.0,22519314
6.5,22197899
7.6,22274139
32.0,22390323
8.4,22535014
14.0,22513184
37.0,22534354
20.0,22494879
5.6,22509364
6.8,22343802
10.5,22382676
27.0,22537973
103.0,22524146
8.5,22328389
11.5,22452008
33.5,22507221
11.0,22466856
14.0,22454540
8.1,22482335
8.8,22146552
12.5,21760602
33.0,22518693
5.8,22509371
5.7,22342200
6.6,22294958
21.9,22537963
12.0,22454011
21.0,22339317
95.0,22491876
7.5,22472912
15.0,22456667
11.5,22476946
220.0,22519322
8.25,22293790
12.3,22038409
34.0,22518656
4.5,22511592
4.9,22335349
21.0,22537953
4.9,22533156
49.0,22497814
60.0,22484663
14.0,22316323
4.8,22475138
13.8,22454520
22.0,22513427
56.95,22291671
9.2,22007603
13.5,21633952
19.0,22493081
18.0,22492720
12.8,22512312
5.9,22285997
8.6,21687710
85.0,22538134
15.5,22525530
12.0,22533212
55.0,22489538
26.0,22302095
24.0,22485518
5.49,22477338
21.0,22454496
8.0,22486706
68.0,22519338
12.5,21985986
32.0,22492998
11.7,22512315
6.39,22216872
8.1,21624420
56.0,22538126
15.0,22508499
17.5,22538472
100.0,22489537
22.0,22104493
41.0,22469721
5.19,22513469
23.0,21544138
3.6,22475462
5.0,22454422
18.0,22514353
80.0,22519348
23.0,22526415
2.3,22496250
22.0,22468416
32.0,22490872
7.89,22181912
5.95,22531339
110.0,22538120
11.5,22508481
10.0,22536219
130.0,22484888
12.0,22538461
65.0,22463833
7.5,22102483
8.49,22512000
8.7,22476200
20.0,22448327
6.1,22513421
6.0,21785821
13.0,21430426
2.2,22496087
16.0,22492521
25.0,22468378
25.0,22490828
7.9,22512330
6.79,21896557
110.0,22538090
14.0,22508452
30.5,21224497
10.5,22534516
10.0,22538522
34.5,22477523
87.0,22453005
16.0,22059766
7.5,22511024
5.3,22476585
54.0,22229545
6.9,22475766
15.49,22271453
12.0,22328689
5.6,21585006
75.0,22485164
25.0,22538961
23.0,22490810
5.5,22516145
7.97,22528642
1100.0,22538180
32.0,22508400
72.0,22470733
21.5,21995428
35.0,22449809
6.49,22506220
6.49,22477340
115.0,22229473
6.0,22501849
45.0,22538579
9.5,22419762
3.9,21438046
35.0,22538955
21.0,21986850
36.5,22490800
4.5,22516149
6.3,22527904
67.0,22538169
5.1,22508379
37.0,22474290
22.0,21987590
265.0,22423492
6.39,22504936
9.5,22537048
4.2,22477360
33.5,22532525
115.0,22228656
8.3,22508385
14.35,22028644
10.2,22418635
25.0,22538918
36.0,22494226
28.0,22047765
23.0,22467087
3.9,22516153
6.6,22515930
46.5,22538159
12.5,22448439
46.0,22433918
9.4,21991205
31.0,22408963
6.99,22503423
130.0,22521294
120.0,22223969
17.5,22514349
70.0,22534727
7.5,22428570
14.5,22485124
45.0,22465179
9.99,22516156
4.38,22514206
65.0,22538152
15.5,22448432
70.000001,22309393
21.0,22407327
25.0,21956760
6.39,22500914
100.0,22195871
13.6,21932025
37.0,22534728
9.2,22475848
24.5,22481647
60.0,22533888
1.39,22358161
18.5,22465173
8.9,22516687
12.9,22504442
85.0,22538188
22.6,22445436
55.0,22423869
235.0,22405678
7.9,21947199
9.0,22495787
6.8,22530784
33.0,22538582
12.8,22488523
18.5,22533338
20.0,22461743
11.2,22516699
52.0,22463291
85.0,22538198
22.5,22445422
26.0,22277227
24.0,22538536
90.0,22394502
7.59,22493278
9.0,22529132
33.0,22507295
139.0,22516137
32.0,22534731
6.85,22466219
9.2,22483271
90.0,22485293
130.0,22530474
85.0,22534591
18.0,22461730
24.0,22368260
12.0,22516716
8.5,22463287
450.0,22538214
22.5,22445418
19.0,22271343
255.0,22371451
15.5,22530901
5.4,22483431
4.8,22389602
8.6,22528979
52.0,22507319
6.6,22539063
12.0,22471930
21.95,22493630
12.0,22500373
7.5,22534699
0.025,22485105
69.0,22530462
9.0,22364445
29.0,22456000
7.8,22519155
10.5,22462929
375.0,22538203
29.5,22445006
31.0,22213825
11.5,22528059
60.0,22362151
11.9,22529071
9.3,22507340
23.0,22461712
22.15,22425056
8.7,22500793
5.3,22534698
5.3,22054671
25.5,22481311
100.0,22530447
82.0,22534338
12.0,22368192
21.0,22453390
36.0,22487813
6.7,22458237
179.0,22538226
29.5,22444997
90.0,22191024
22.0,22527995
79.0,22333687
23.5,22539099
4.1,22518047
11.0,22525594
75.0,22519831
9.0,22507351
10.0,22461697
12.85,22425080
16.5,22508177
80.0,22479334
90.0,22530438
10.2,22368025
100.0,22534319
30.0,22449861
11.0,22519411
19.9,22427545
107.0,22425790
68.0,22187939
45.0,22524705
25.0,22387197
14.5,22533170
15.9,22523439
69.0,22520159
20.0,22459049
12.5,22074299
12.7,22393261
18.5,22526841
104.999,22514700
7.99,22361723
10.5,22296639
21.0,22449840
7.0,22325891
4.9,22454262
170.0,22158294
128.0,22524576
9.5,22387194
14.5,22533148
51.0,22520196
25.0,22459058
15.95,22464670
11.5,22190021
34.0,22462174
20.2,22526831
30.0,22486922
16.8,22537648
19.0,22449817
9.0,22214632
4.85,22454254
395.0,22181008
13.5,22387183
130.0,22514638
17.5,22539093
17.0,22520197
31.0,21552183
8.5,22458809
10.9,22518588
85.0,22476132
13.5,22526825
5.7,22513001
30.0,22449800
4.8,22453848
150.0,22492276
110.0,22514620
10.0,22387177
26.0,22521108
32.0,21552172
25.0,22458799
8.5,22519706
11.0,22302092
34.0,22459729
10.5,22499780
37.0,22379322
3.65,21986971
10.9,22448446
83.0,22538774
120.0,22477562
46.0,22513466
15.0,22387165
62.0,22521986
15.0,22454479
22.95,22316787
7.7,22522099
32.0,22452505
5.1,22492238
39.8,22458559
11.5,22509197
2.0,22496353
6.5,22492890
21.5,22518671
2.68,22516483
19.5,22436684
165.0,22492263
52.0,22513435
13.5,22387153
16.0,22520981
40.0,22522345
22.0,22451340
9.0,22523113
3.3,22492234
14.6,22509194
19.5,22491649
30.0,22518640
12.0,22533075
21.0,22436680
31.0,22477090
30.0,22510701
74.0,22212489
11.5,22520798
49.0,22522348
11.0,22451274
12.45,22302067
7.8,22536842
12.3,22530376
40.9,22536303
6.6,22504119
35.0,22456821
15.0,22509184
39.899,22504279
4.95,22458272
25.0,22172601
34.0,22518537
11.0,22535867
22.0,22436678
5.38,22536723
55.0,22477086
74.0,22212482
29.0,22508352
160.0,22522360
10.0,22451318
52.0,22532690
11.0,22530349
11.8,22489215
34.9,22533980
30.0,22527480
69.0,22455922
17.0,22450266
17.0,22339122
22.0,22451657
9.2,22456953
23.0,22169491
32.0,22509407
29.5,22535865
105.0,22425780
6.9,22535877
60.0,22477087
22.5,22152200
140.0,22498126
20.0,22451263
6.5,22178583
6.3,22531447
10.2,22530489
63.9,22533703
90.0,22454414
68.0,22443777
3.8,22441564
19.0,22493691
13.2,22174344
110.0,22425770
6.5,22535038
58.0,22477088
41.0,21947185
40.0,22498015
27.0,22451235
27.0,22525538
18.5,22535555
34.9,22533678
6.25,22483819
10.3,22454110
14.9,22441579
13.0,22441496
40.0,22169461
12.6,22093079
77.0,22424570
7.6,22531829
7.9,22534005
380.0,22470736
10.5,21947179
55.0,22484636
8.0,22451229
12.49,22283532
10.5,22521708
8.8,22535649
3.4,22483816
68.0,22532327
32.0,22451862
27.5,22439585
4.35,22432664
36.0,22493070
7.8,22294994
78.0,22424565
6.2,22532475
6.38,22533939
37.0,22440965
25.0,21928998
2.45,22535959
75.0,22506177
16.0,22451224
32.85,22299276
9.0,22517828
47.9,22532322
150.0,22383745
9.9,22425179
1.48,22324959
79.0,22424558
5.2,22534214
4.43,22508337
39.5,22438717
9.8,21928989
1050.0,22453191
2.25,22536202
70.0,22506186
60.0,22248188
8.79,22052454
8.3,22517750
3.75,22480828
42.5,22532247
48.0,22369357
34.0,22427910
10.5,22424906
21.5,22481836
5.1,22338334
279.0,22423362
5.55,22507998
95.0,22423890
479.0,22371320
10.0,21875549
2.35,22536146
58.0,22507944
180.0,22229742
9.49,22000632
25.0,22505402
12.8,22481567
59.0,22532234
62.0,22281680
68.0,22330107
13.0,22511183
5.95,22403858
124.0,22481827
32.0,22430111
4.35,22361942
10.0,21851682
7.499,22534825
6.98,22505165
45.0,22354773
14.5,21721537
65.0,22371280
2.75,22535914
17.5,22508007
30.0,22187729
7.89,21528089
18.0,22500077
43.9,22532077
8.7,22481601
16.5,22302069
68.0,22368801
5.3,22397730
57.0,22481819
7.5,22422042
9.499,22536077
57.75,22521648
4.46,22504471
69.0,22350545
38.5,21568072
30.0,22365120
2.65,22536119
17.5,22509700
22.0,22472859
15.95,21244546
9.0,22487812
34.0,22531966
12.8,22481810
25.5,22480807
23.0,22481690
14.0,22418039
9.9,22412384
195.0,22421542
9.5,22538172
6.2,22502829
12.0,22538556
45.0,22354566
1.32,22536154
50.0,22509704
14.5,22467655
25.95,22484256
13.2,22460201
4.65,22481817
45.0,22531576
5.1,22367627
27.0,22485146
7.9,22396443
19.0,22513016
20.0,22474795
6.3,22423434
199.0,22421535
6.499,22533647
4.95,22500087
45.0,22350535
22.0,22538549
105.0,22340264
60.0,22520454
115.0,22466970
18.85,22536621
18.0,22500065
3.05,22481799
8.5,22531542
45.0,22325642
4.9,22385048
19.5,22474759
16.5,22432531
201.0,22421527
3.4,22494070
5.0,22538964
60.0,22306891
69.0,22520451
60.0,22519815
60.0,22329684
1.45,22536170
70.0,22514813
5.49,22401103
16.0,22465040
17.45,22425012
85.0,22499192
14.2,22528286
4.75,22481785
65.0,22325640
6.8,22382569
19.0,22470657
6.65,22456895
25.5,22421485
4.95,22491501
4.25,22538977
32.0,22274275
679.0,22190521
15.0,22519814
23.0,22520440
1.2,22536185
11.5,22519515
13.0,22464601
10.65,22420121
7.5,22481781
86.0,22528233
28.5,22325605
1.85,22180414
550.0,22514825
6.8,22381509
24.0,22468545
8.5,22482300
16.9,22421482
6.86,22491411
4.79,22538987
62.0,22306889
62.0,22538151
40.0,22519812
27.0,22520426
1.25,22536101
75.0,22519675
9.9,22425880
26.0,22461768
18.45,22425020
75.0,22494863
19.0,22528171
6.3,22481630
23.0,22325579
6.0,22492887
6.6,22360130
20.0,22468537
18.0,22261362
18.5,22458234
21.0,22436674
2.5,22480910
75.0,21626906
18.5,22490913
4.9,22538996
160.0,22191020
23.0,22387201
55.0,22516218
690.0,22530555
1.65,22536124
53.0,22520155
5.09,22461550
20.0,22461742
23.45,22425034
3.55,22471405
95.0,22530742
15.8,22527980
4.85,22481616
39.0,22320560
10.2,22531416
31.0,22468532
3.9,22528689
20.5,22436669
52.0,21601546
4.79,22490675
3.6,22539006
290.0,22172477
27.0,22516216
22.7,22060026
32.0,22518180
1.75,22536211
48.0,22519799
7.2,22465920
8.5,22459063
34.95,22464155
13.5,22469324
4.58,22538299
215.0,22530730
16.5,22527652
23.5,22320536
2.4,22496327
4.3,22513051
37.0,22467093
6.9,22535860
70.0,21471362
4.3,22479444
6.1,22490628
5.65,22539017
100.0,22516632
36.0,22516215
128.0,22508394
12.7,22059178
2.55,22535931
34.0,21617107
119.0,22520192
5.69,22466914
26.0,22459056
8.55,22420089
2.4,22463472
80.0,22530716
15.0,22527639
1.38,22481609
30.0,22319864
5.1,22502525
23.0,22518680
6.6,22535863
42.0,22434346
5.88,22484312
80.0,22516629
58.0,22516211
6.8,22057567
62.0,22514629
2.65,22535940
22.0,22528902
6.5,22480193
20.0,22459045
17.65,22411914
16.8,22527636
68.0,22530698
6.8,22483315
22.0,22319772
9.2,22534917
6.999,22518053
13.9,22447956
35.0,22172570
33.0,22509391
5.95,22425276
322.0,22434321
2.8,22479425
4.5,22481883
75.0,22516625
209.5,22501780
62.0,22516203
6.2,22037731
2.335,22536220
17.0,22529470
6.8,22483541
25.0,22459043
2.79,22519673
7.6,22480818
17.8,22527632
5.95,22533274
6.9,22399528
27.0,22506075
18.0,22170778
320.0,22434317
2.95,22479413
12.99,22538887
5.35,22524162
59.0,22516614
50.0,22516206
105.0,22502757
16.0,22008263
1.45,22536138
74.999,22529477
75.0,21555298
4.85,22484451
28.0,22459005
6.15,22398655
35.0,22458520
3.95,22483320
54.5,22536319
7.3,22530685
5.75,22397026
19.0,22506052
155.0,22427627
31.8,21385245
100.0,21459861
12.9,22538901
3.75,22511651
195.0,22516618
130.0,22501694
22.0,21990694
33.0,22516196
1.2,22536158
17.5,22530990
6.5,22538300
26.0,22459002
9.0,22451095
106.0,22536316
3.4,22485750
450.0,21933382
7.1,22530275
12.5,22393495
22.0,22506044
25.0,22164036
125.0,22423384
75.0,21459807
7.2,22469601
